symbol,mean
CL,1.1135130911280027
CLX,1.1800246135629167
CMA,1.0922896853125195
CMCSA,1.138755364195868
CME,0.9105038774353122
CMG,1.4660748075917887
CMI,1.3264822225390542
CMS,1.017483960904178
CNC,0.9987849158198169
CNP,1.09048053297636
COF,1.1025696145027002
COG,1.046118339900088
COO,1.0540178815895713
COP,0.8751313667612738
COST,1.1530332959850802
CPB,0.9992564646868067
CPRT,1.27002031100479
CRM,1.353919535453577
CSCO,0.9692962345705401
CSX,1.1751215123259875
CTAS,1.3476037344694685
CTLT,1.461984824261472
CTSH,1.245746485088832
CTVA,1.188913027352515
CTXS,1.0378045904237465
CVS,0.9863844363449176
CVX,0.9015721306885334
CZR,1.9779931400024013
D,0.9859874510505316
DAL,1.0465462726477128
DD,1.2637279190588528
DE,1.4438281317637507
DFS,1.2841173752357529
DG,1.2121695540820718
DGX,1.1383034084275705
DHI,1.436522600523252
DHR,1.3331295067165871
DIS,1.1463719902672267
DISCA,0.9851203360641159
DISCK,0.9659021485270955
DISH,1.106264137056291
DLR,1.0844559183671663
DLTR,1.1472462033858484
DOV,1.1525624938421881
DOW,1.2615932765200786
DPZ,1.1671157676049764
DRE,1.1160645894816599
DRI,1.2384281578611263
DTE,1.0847830267185494
DUK,1.000176752049978
DVA,1.1764783984321074
DVN,0.9288697372297092
DXC,1.0924562060821577
DXCM,1.3296249265822004
EA,1.1789779821801118
EBAY,1.3720627894155637
ECL,1.0714955768242262
ED,0.9354536286740379
EFX,1.1310096212262766
EIX,0.9208864622739357
EL,1.1994426456395109
EMN,1.3267229279380897
EMR,1.166701545713439
ENPH,2.1257843567443184
EOG,0.8436940703211663
EQIX,1.1664646215296137
EQR,0.8326425371408099
ES,1.024703950096435
ESS,0.8762019962010369
ETN,1.211296462495016
ETR,0.9688355617120767
ETSY,2.1221980092421915
EVRG,0.8948102276292804
EW,1.1239455682957877
EXC,0.9832786311431887
EXPD,1.2061794073406895
EXPE,1.2673602475170536
EXR,1.1075918813818255
F,1.2247417492228432
FANG,0.8587668609416172
FAST,1.250021876192375
FB,1.312833026240597
FBHS,1.4381747361420532
FCX,1.7923424302527755
FDX,1.7744777937403629
FE,0.7171841102566539
FFIV,1.1054699648752613
FIS,1.065839155482127
FISV,0.9906736195800353
FITB,1.1271591840557815
FLIR,0.8955127765356354
FLT,1.0003001757557621
FMC,1.1771510627433182
FOX,0.9606525748749153
FOXA,0.9482804557167853
FRC,1.1557748631767433
FRT,0.8809673988210337
FTNT,1.111599392045815
FTV,1.1833989775598792
GD,0.978052965035045
GE,0.9792050172551265
GILD,0.906079061660836
GIS,1.085077510313308
GL,1.0294976764061907
GLW,1.3710194727387448
GM,1.270972818081067
GNRC,1.754437473330575
GOOG,1.176881275157089
GOOGL,1.1753297207591766
GPC,1.1539980252436175
GPN,1.0425505747677146
GPS,1.7241437567806965
GRMN,1.190387269080425
GS,1.0784184217063624
GWW,1.2513000894225832
HAL,1.286841064992977
HAS,1.0888118283858201
HBAN,1.0493320695035329
HBI,1.3679924461142083
HCA,1.2055140746510373
HD,1.215974855292274
HES,0.9732458928644068
HFC,0.761339196457711
HIG,0.9718129406313885
HII,0.7949988401861251
HLT,1.1153950144181624
HOLX,1.3749535979320116
HON,1.1633885676721207
HPE,0.9210087043888006
HPQ,1.1111199477439913
HRL,1.0593873990898797
HSIC,1.0855948458569635
HST,0.9518825220430897
HSY,1.032888374881515
HUM,1.147680258521556
HWM,1.1575258201161145
IBM,0.9735329628710196
ICE,1.1074513040222396
IDXX,1.4435174133005295
IEX,1.1707971640150427
